Date,Traffic_Source,Sessions,Users,Page_Views,Bounce_Rate,Avg_Session_Duration,Device_Category
2023-05-01 00:00:00,Direct,1429,972,4428.0,50.06,204.84,Desktop
2023-05-01 01:00:00,Direct,1106,605,556.0,44.32,201.85,Desktop
2023-05-01 02:00:00,Direct,1392,199,3105.0,41.39,202.72,Mobile
2023-05-01 03:00:00,Direct,274,682,4790.0,46.67,192.61,Tablet
2023-05-01 04:00:00,Referral,1886,1122,1560.0,38.92,224.28,Mobile
2023-05-01 05:00:00,Organic,694,1164,5160.0,39.96,268.39,Mobile
2023-05-01 06:00:00,Direct,1030,1474,4965.0,43.18,183.2,Desktop
2023-05-01 07:00:00,Paid,956,904,3575.0,49.07,186.62,Desktop
2023-05-01 08:00:00,Organic,1857,1100,5787.0,37.48,233.0,Mobile
2023-05-01 09:00:00,Paid,270,821,7792.0,55.51,223.24,Desktop
2023-05-01 10:00:00,Organic,1922,1399,7001.0,32.36,282.88,Tablet
2023-05-01 11:00:00,Direct,923,899,1082.0,46.59,232.29,Mobile
2023-05-01 12:00:00,Direct,436,1226,4927.0,48.04,210.03,Mobile
2023-05-01 13:00:00,Direct,488,431,3792.0,50.19,204.1,Mobile
2023-05-01 14:00:00,Organic,1335,1440,6775.0,30.42,227.24,Mobile
2023-05-01 15:00:00,Direct,1946,636,1245.0,51.51,200.72,Desktop
2023-05-01 16:00:00,Paid,387,414,3907.0,39.84,175.73,Tablet
2023-05-01 17:00:00,Paid,1886,857,3692.0,48.48,182.61,Desktop
2023-05-01 18:00:00,Direct,1758,1425,3688.0,40.73,166.97,Mobile
2023-05-01 19:00:00,Organic,406,1054,5636.0,34.79,253.29,Mobile
2023-05-01 20:00:00,Referral,1982,943,1880.0,40.69,204.7,Tablet
2023-05-01 21:00:00,Organic,1362,1379,286.0,26.44,256.7,Desktop
2023-05-01 22:00:00,Organic,1179,261,3188.0,34.12,245.92,Mobile
2023-05-01 23:00:00,Organic,1701,886,2086.0,41.84,249.83,Tablet
2023-05-02 00:00:00,Direct,408,950,2791.0,39.68,219.93,Mobile
2023-05-02 01:00:00,Social Media,412,1109,1059.0,62.85,111.63,Tablet
2023-05-02 02:00:00,Direct,415,1079,2734.0,43.52,223.57,Desktop
2023-05-02 03:00:00,Direct,648,1134,6170.0,46.74,176.16,Mobile
2023-05-02 04:00:00,Organic,1388,916,1091.0,37.81,215.01,Desktop
2023-05-02 05:00:00,Referral,1799,1379,3571.0,34.27,204.78,Mobile
2023-05-02 06:00:00,Social Media,1951,470,2841.0,56.55,108.48,Desktop
2023-05-02 07:00:00,Social Media,1895,826,8027.0,53.4,75.54,Mobile
2023-05-02 08:00:00,Organic,1034,1228,5677.0,31.08,275.74,Tablet
2023-05-02 09:00:00,Paid,738,1237,6449.0,42.06,154.16,Mobile
2023-05-02 10:00:00,Organic,1758,1329,6125.0,29.27,216.38,Desktop
2023-05-02 11:00:00,Organic,774,1261,2363.0,35.98,298.76,Tablet
2023-05-02 12:00:00,Organic,478,827,430.0,42.41,218.56,Mobile
2023-05-02 13:00:00,Paid,171,1418,1100.0,48.99,134.84,Desktop
2023-05-02 14:00:00,Referral,1798,321,5526.0,30.49,217.72,Desktop
2023-05-02 15:00:00,Social Media,856,948,2630.0,48.8,128.95,Desktop
2023-05-02 16:00:00,Organic,370,1063,4374.0,32.34,202.06,Mobile
2023-05-02 17:00:00,Social Media,304,848,761.0,62.47,122.11,Desktop
2023-05-02 18:00:00,Organic,1853,992,2222.0,34.13,225.25,Desktop
2023-05-02 19:00:00,Social Media,1197,575,5202.0,61.37,147.16,Mobile
2023-05-02 20:00:00,Organic,655,960,3522.0,34.95,236.51,Mobile
2023-05-02 21:00:00,Organic,107,1148,3969.0,37.13,260.1,Desktop
2023-05-02 22:00:00,Organic,1691,542,3670.0,38.06,221.29,Desktop
2023-05-02 23:00:00,Organic,1593,461,4731.0,36.76,214.01,Desktop
2023-05-03 00:00:00,Paid,660,674,4815.0,47.88,195.28,Desktop
2023-05-03 01:00:00,Organic,1013,651,4897.0,36.23,234.15,Mobile
2023-05-03 02:00:00,Organic,304,1012,4853.0,30.88,244.83,Tablet
2023-05-03 03:00:00,Organic,976,81,3343.0,22.29,207.2,Mobile
2023-05-03 04:00:00,Paid,111,1458,1781.0,54.1,196.29,Mobile
2023-05-03 05:00:00,Direct,926,1471,1794.0,45.36,234.75,Desktop
